id,studlab,evente,ne,eventc,nc,meane,sde,meanc,sdc,oe,v,te,sete,lowerte,upperte,weight,eventepooled,nepooled,eventcpooled,ncpooled,tepooled,lowerpooled,upperpooled,weightpooled
STD-Ann_x002c_-2006,"Ann, 2006",0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STD-Berg_x002c_-2014,"Berg, 2014",0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STD-Ma_x00f1_anes_x002c_-2014,"Mananes, 2014",0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STD-McKay_x002c_-2008,"McKay, 2008",0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STD-Satterfield_x002c_-2018,"Satterfield, 2018",0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STD-Stoddard_x002c_-2008,"Stoddard, 2008",0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STD-Graham_x002c_-2017,"Graham, 2017",0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STD-Shuter_x002c_-2014,"Shuter, 2014",0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STD-Ann_x002c_-2006,"Ann, 2006",77,257,8,47,NA,NA,NA,NA,0,0.112819366658675,1.760214,.33588594,.9112947,3.3999467,3.707608,4008,18224,3468,18173,1.1892712,1.0317394,1.370856,100
STD-Berg_x002c_-2014,"Berg, 2014",48,65,20,59,NA,NA,NA,NA,0,0.0384995654063451,2.1784616,.19621307,1.4829723,3.2001235,7.7931976,4008,18224,3468,18173,1.1892712,1.0317394,1.370856,100
STD-Ma_x00f1_anes_x002c_-2014,"Mananes, 2014",695,11625,390,11588,NA,NA,NA,NA,0,0.00383063381113941,1.7763793,.061892115,1.5734504,2.0054803,16.036705,4008,18224,3468,18173,1.1892712,1.0317394,1.370856,100
STD-McKay_x002c_-2008,"McKay, 2008",448,1159,461,1159,NA,NA,NA,NA,0,0.002675714714848,.97180045,.05172731,.87810552,1.0754926,16.62244,4008,18224,3468,18173,1.1892712,1.0317394,1.370856,100
STD-Satterfield_x002c_-2018,"Satterfield, 2018",40,412,64,549,NA,NA,NA,NA,0,0.0363763219092083,.83282769,.19072577,.57307184,1.2103229,8.0465145,4008,18224,3468,18173,1.1892712,1.0317394,1.370856,100
STD-Stoddard_x002c_-2008,"Stoddard, 2008",116,684,119,691,NA,NA,NA,NA,0,0.0141148846927223,.98476583,.11880608,.7801984,1.2429707,12.206515,4008,18224,3468,18173,1.1892712,1.0317394,1.370856,100
STD-Graham_x002c_-2017,"Graham, 2017",2516,3953,2340,4011,NA,NA,NA,NA,0,0.000322519895714043,1.0909896,.017958838,1.0532563,1.1300749,17.958958,4008,18224,3468,18173,1.1892712,1.0317394,1.370856,100
STD-Shuter_x002c_-2014,"Shuter, 2014",68,69,66,69,NA,NA,NA,NA,0,0.000871890258079516,1.030303,.029527787,.97236848,1.0916893,17.628061,4008,18224,3468,18173,1.1892712,1.0317394,1.370856,100
STD-Brendryen_x002c_-2008,"Brendryen, 2008",183,197,173,199,NA,NA,NA,NA,0,0.00114355993500579,1.0685426,.033816565,1.0000165,1.1417645,34.709801,2829,4256,1364,4316,1.3053077,.69895375,2.4376841,100
STD-Graham_x002c_-2017,"Graham, 2017",2615,3953,1155,4011,NA,NA,NA,NA,0,0.000745923232175528,2.2972887,.027311595,2.1775486,2.4236128,34.757038,2829,4256,1364,4316,1.3053077,.69895375,2.4376841,100
STD-Tseng_x002c_-2017,"Tseng, 2017",31,106,36,106,NA,NA,NA,NA,0,0.0411679177656049,.8611111,.20289879,.57856405,1.2816427,30.533161,2829,4256,1364,4316,1.3053077,.69895375,2.4376841,100
STD-Alessi_x002c_-2017,"Alessi, 2017",NA,42,NA,42,82.7,30.7,72.6,32.2,NA,NA,10.1,6.8649039,-3.3549643,23.554964,.021095173,NA,602,NA,614,-.19782719,-.39325774,-.0023966455,100
STD-Ritcher_x002c_-2015,"Ritcher, 2015",NA,280,NA,286,2.4,1.5,2.6,1.5,NA,NA,-.2,.12610649,-.44716418,.047164179,49.989452,NA,602,NA,614,-.19782719,-.39325774,-.0023966455,100
STD-Ritcher_x002c_-2015,"Ritcher, 2015",NA,280,NA,286,2.4,1.5,2.6,1.5,NA,NA,-.2,.12610649,-.44716418,.047164179,49.989452,NA,602,NA,614,-.19782719,-.39325774,-.0023966455,100
STD-Alessi_x002c_-2017,"Alessi, 2017",NA,42,NA,42,82.7,30.7,72.6,32.2,NA,NA,10.1,6.8649039,-3.3549643,23.554964,27.79668,NA,322,NA,328,2.663058,-6.3809381,11.707054,100
STD-Ritcher_x002c_-2015,"Ritcher, 2015",NA,280,NA,286,2.4,1.5,2.6,1.5,NA,NA,-.2,.12610649,-.44716418,.047164179,72.203316,NA,322,NA,328,2.663058,-6.3809381,11.707054,100
STD-Alessi_x002c_-2017,"Alessi, 2017",NA,42,NA,42,82.7,30.7,72.6,32.2,NA,NA,10.1,6.8649039,-3.3549643,23.554964,27.79668,NA,322,NA,328,2.663058,-6.3809381,11.707054,100
STD-Ritcher_x002c_-2015,"Ritcher, 2015",NA,280,NA,286,2.4,1.5,2.6,1.5,NA,NA,-.2,.12610649,-.44716418,.047164179,72.203316,NA,322,NA,328,2.663058,-6.3809381,11.707054,100
